income,expenses,savings,debt,transaction_count,food_expense,shopping_expense,entertainment_expense,risk_level
183338,154134,29204,20488,23,48027,29776,13610,Medium
123806,91027,32779,70889,42,20355,10804,16627,High
162982,56303,106679,126838,19,9853,13589,3765,High
135989,97382,38607,106948,89,15415,19267,14798,Medium
115982,55235,60747,45834,73,11395,7632,4918,Medium
146626,100486,46140,101975,73,19981,10363,12192,High
144176,106990,37186,84986,71,28038,19643,10154,High
156278,70331,85947,0,77,10855,8237,6926,Low
147409,87996,59413,67544,52,22361,10456,7836,Medium
48419,20515,27904,5315,89,4684,3148,3342,Low
75015,25056,49959,56270,68,6650,5664,2627,High
147096,80315,66781,41413,61,23330,16543,12766,Low
132059,70772,61287,47134,28,19590,8053,8380,High
135687,128504,7183,72908,30,44581,37739,16973,High
112939,66648,46291,30168,31,11840,18490,8763,Medium
174213,90036,84177,0,18,21243,13671,17681,Low
130878,88644,42234,0,18,20828,11033,9312,Low
189899,67926,121973,3795,82,15854,19595,5512,Low
87623,81058,6565,50521,36,22919,15581,15139,High
100450,71593,28857,41306,26,17752,11614,5457,Medium
118426,93632,24794,57389,53,23734,18545,16400,Medium
142845,58682,84163,72208,54,13876,14937,4256,High
178371,100986,77385,75208,17,35177,13499,15027,Medium
68585,39419,29166,0,89,13225,9992,2861,Low
134225,111967,22258,73425,27,23686,27979,21101,High
89044,26784,62260,0,42,4615,5567,3609,Low
198629,98431,100198,0,10,31296,26888,9783,Low
134556,126187,8369,93609,85,44094,15953,8965,High
27693,16856,10837,0,15,3514,3693,1781,Low
120259,65979,54280,0,50,14618,12527,10276,High
50939,19249,31690,0,64,6512,3550,2073,Low
199013,185720,13293,63141,14,54272,27953,16141,High
177906,55687,122219,17772,68,11645,9714,7607,Low
43047,33540,9507,18095,89,8928,4079,3779,Medium
51105,40863,10242,4476,27,13846,6142,3059,Medium
100766,46188,54578,16352,58,14427,7131,3376,Low
171779,126517,45262,137192,91,37748,30887,19751,High
178048,64169,113879,0,74,19083,7039,12590,Low
69262,32350,36912,15739,92,6004,7448,2748,Low
150117,121915,28202,119466,63,38395,17590,20234,High
48776,42047,6729,37715,70,8629,4893,2654,High
186152,129471,56681,65635,17,43511,20736,13884,Medium
153376,96541,56835,31951,12,21521,13988,12164,Low
162848,65716,97132,109225,34,21129,13827,5934,High
117787,40167,77620,67432,78,8163,6887,5199,High
152948,57580,95368,84053,64,14562,16882,10502,High
80016,35829,44187,57170,49,6140,10487,6867,High
165546,86429,79117,91304,92,24375,16312,5625,High
46959,25714,21245,10661,91,8156,6660,2334,Low
161602,84858,76744,89703,59,24921,8710,16706,High
144101,65621,78480,0,42,16710,13751,5942,Low
28748,18149,10599,17461,27,2886,4512,2793,High
38545,32240,6305,0,66,10854,4622,2837,Medium
152659,73552,79107,9454,25,21410,8255,7609,Low
190838,174149,16689,78294,89,52100,22845,13704,High
98530,85491,13039,27060,47,26411,16103,15255,Medium
118557,48032,70525,0,50,14387,9667,8760,Low
86087,69823,16264,41477,16,16633,12301,6600,Medium
93840,63199,30641,0,87,18752,11881,10967,Low
143451,95864,47587,89156,62,26363,18602,9944,High
76005,42120,33885,4304,72,13512,10693,2731,Low
64353,40268,24085,33998,98,12502,4874,6592,High
77733,43387,34346,50320,41,6867,11011,6051,High
90318,58781,31537,48615,47,13271,13973,5358,High
179736,127283,52453,0,31,19976,31608,11194,Low
92172,68050,24122,70073,25,11596,16801,13361,High
118264,76411,41853,28377,61,20652,14832,13706,Low
51736,39781,11955,793,38,12919,5660,6821,Medium
137859,54017,83842,47642,25,9397,11199,3738,Medium
137181,60056,77125,0,85,14426,17512,9805,Low
156926,130590,26336,119757,26,43378,28430,10732,High
115084,58651,56433,19326,73,18349,5994,11531,Low
194695,61305,133390,122880,98,15567,6862,3544,High
32392,12955,19437,0,22,3942,3868,1332,Low
80680,35930,44750,0,81,9145,4110,4106,Low
75859,69961,5898,37700,65,12706,7640,12147,High
150657,101313,49344,5794,14,17724,17284,16709,Low
182381,165287,17094,0,21,31020,48571,17561,High
95467,64331,31136,1118,50,14164,10533,8674,Low
123506,75533,47973,91013,12,25387,13745,13243,High
134751,67904,66847,105222,42,21045,15401,3580,High
143906,99891,44015,25590,95,23630,10470,17014,Low
168760,65897,102863,28095,59,16383,18421,12654,Low
50342,44495,5847,30355,65,9037,9072,2438,High
193229,162131,31098,39168,18,47159,31350,9215,Medium
131308,66493,64815,94024,91,20649,18095,6760,High
131081,120505,10576,0,59,23833,35020,7611,High
114045,95385,18660,0,38,15105,17616,11626,Medium
59698,43764,15934,39768,48,12025,5885,6971,High
135078,51214,83864,0,54,13443,13476,6915,Low
105623,64520,41103,77031,26,14867,11655,5127,High
47671,29983,17688,0,65,8358,8608,4444,Low
181256,81775,99481,0,55,21271,23713,12489,Low
118384,41668,76716,220,76,8338,5123,7911,Low
198179,159508,38671,155995,78,36614,46466,11487,High
111202,42181,69021,80611,23,9938,7324,6489,High
76663,52612,24051,0,76,17154,12061,9823,Low
40708,36991,3717,0,32,12657,3956,4632,High
116906,101646,15260,42816,70,33400,28234,10598,Medium
74811,35949,38862,15498,32,10563,8207,2718,Low
158883,135597,23286,111694,36,36204,31012,24409,High
81250,24392,56858,12783,63,7021,6840,2662,Low
137547,42845,94702,104238,19,14473,8640,8086,High
149249,103229,46020,24551,98,20645,18798,18288,Low
59754,32094,27660,29336,86,8248,8768,3417,Medium
167483,92316,75167,29890,25,26579,22939,12563,Low
158983,106023,52960,69401,50,30306,30724,5733,Medium
164752,69963,94789,90149,64,14024,20151,6260,High
109896,48094,61802,16724,70,12857,8486,7528,Low
96295,59220,37075,40126,95,18309,11216,8982,Medium
125689,99327,26362,0,90,24336,15017,10231,Medium
36111,25374,10737,0,96,7831,5890,4346,Low
62504,30832,31672,40918,58,6843,5331,2632,High
157874,91522,66352,42396,82,30911,23541,10908,Medium
33155,13624,19531,0,61,3498,1693,1646,Low
64384,22438,41946,26515,11,6040,2766,2268,High
137561,111252,26309,56483,59,17385,15674,21493,Medium
72254,34140,38114,6197,95,6283,3989,5274,Low
46918,19496,27422,15895,52,5392,4367,2551,Medium
110981,83186,27795,40163,86,19463,10770,10529,Medium
55306,38810,16496,0,17,9765,5122,2867,Low
172718,122901,49817,0,68,19982,12639,13006,Low
71843,32241,39602,0,74,10214,8267,4865,Low
145975,65866,80109,10134,90,20214,17287,12427,Low
121601,53932,67669,0,21,10089,7140,9301,Low
132512,54719,77793,17484,13,15149,13565,5201,Low
172443,125231,47212,17191,86,39280,23381,14413,Low
136472,116166,20306,39948,50,32313,17183,7253,Medium
158121,121880,36241,0,16,25848,27334,7961,Medium
187688,152939,34749,0,96,43009,20753,18434,Medium
128727,72488,56239,0,97,13924,18221,9389,Low
137893,99993,37900,1949,78,21363,10951,8959,Low
45932,24355,21577,3776,78,4822,7107,3565,Low
142796,91614,51182,0,90,23946,10478,14246,Low
54855,33629,21226,0,39,5772,7260,3190,High
199088,82616,116472,0,82,27813,23168,13529,Low
32400,17871,14529,0,15,3872,1829,1444,Low
142858,132355,10503,48546,98,25649,26431,17422,High
198714,91721,106993,54328,28,22866,15592,15651,Medium
40151,15537,24614,5891,89,3191,3357,2028,Low
91690,52453,39237,501,94,13479,7610,9766,Low
29499,24003,5496,0,75,5273,2711,1410,Medium
31295,21230,10065,17165,19,3745,4780,2934,High
145885,108339,37546,26408,25,22012,19866,14545,Low
151071,63948,87123,15929,46,15199,14356,9531,Low
84040,59022,25018,59637,88,9210,8387,10329,High
37183,18973,18210,0,86,5770,3182,3014,Low
185371,156137,29234,0,86,42838,33153,26315,Medium
168946,119790,49156,0,41,32375,26188,11179,Low
141336,60669,80667,92389,56,15726,10584,6559,High
57711,19737,37974,20699,81,5290,3079,2842,Medium
30539,10007,20532,11952,52,3371,1548,1331,Medium
151063,81787,69276,26315,91,12408,11036,15880,Low
158629,75000,83629,9936,45,11966,12381,5851,Low
63360,45616,17744,29066,35,8589,6381,4684,Medium
158272,98851,59421,0,19,18135,22415,13435,Low
46357,21922,24435,16661,40,4082,4687,3950,Low
144121,57216,86905,0,38,16271,10099,10836,Low
102505,39226,63279,78136,14,9488,6478,3938,High
27869,24023,3846,5335,86,8368,3543,1442,Medium
75108,34419,40689,0,10,6724,7127,3897,Low
137296,99349,37947,52071,96,21078,28193,10844,Medium
119179,98554,20625,83490,12,34183,23371,19511,High
115272,80592,34680,25030,76,25495,20057,9240,Low
63467,54500,8967,187,80,13295,14544,5224,Medium
48328,26824,21504,6285,44,6998,4568,2811,Low
116412,107278,9134,0,24,34182,12076,11751,High
160059,61869,98190,0,76,15231,13890,10717,Low
83871,30730,53141,0,39,5875,4232,1909,Low
178471,129953,48518,97168,91,41024,27785,12667,High
153391,140021,13370,0,84,36063,34711,27296,High
111416,92004,19412,40799,52,16616,23619,6713,Medium
95271,33313,61958,7283,69,8365,5342,5376,Low
69064,33260,35804,49623,49,7737,6734,3441,High
132450,119828,12622,99117,74,38988,26864,16448,High
196890,91453,105437,154330,38,16023,24134,5938,High
44830,36211,8619,31149,83,11770,9135,3474,High
173501,145105,28396,0,28,36630,43182,18156,Medium
162965,101371,61594,0,12,23403,10301,8591,Low
141381,77918,63463,65555,45,14211,14609,10229,Medium
72333,42863,29470,0,52,12437,6481,3556,Low
159508,71384,88124,0,24,23939,8850,10530,Low
101213,88875,12338,570,50,20003,25089,16499,Medium
161967,96030,65937,0,99,19044,28769,6032,Low
175810,153587,22223,10801,89,40082,20906,12669,Medium
55746,20553,35193,0,45,6355,2213,3630,Low
74377,70091,4286,40394,93,10566,10864,10144,High
79045,46488,32557,14974,86,12843,12411,2873,Low
122888,40686,82202,8254,42,10956,6460,5002,Low
195862,63599,132263,120654,14,13586,7083,5181,High
132455,103981,28474,66775,87,24985,11489,8304,Medium
161672,117757,43915,0,96,23479,21842,22502,Low
118179,97070,21109,32551,23,29895,27797,15941,Medium
196836,72531,124305,9725,77,20084,11400,11201,Low
70714,22849,47865,41543,92,5861,4236,1961,High
127946,80679,47267,53402,56,18435,9712,5468,Medium
134616,74299,60317,0,63,15474,14764,13420,Low
130983,78624,52359,81914,13,24730,18815,4000,High
149123,140851,8272,24307,92,33843,21723,15242,High
174661,162607,12054,0,18,40698,25910,14901,High
68484,62491,5993,5069,62,15883,16772,8471,High
107989,87416,20573,0,86,20951,8922,7655,Medium
61212,32481,28731,0,87,6535,7382,3140,Low
68525,38914,29611,0,69,6773,6956,6907,Low
188707,124027,64680,0,55,21048,19804,17423,Low
88208,74081,14127,63940,63,22334,17151,5322,High
58828,20275,38553,0,83,3947,5412,3223,Low
174783,100638,74145,7599,46,16216,21302,8163,Low
28420,10052,18368,421,32,3111,1067,1155,Low
121752,77254,44498,0,36,13968,14854,11355,Low
156373,138278,18095,82308,79,38030,26625,12554,High
140294,113443,26851,81648,99,24699,23682,12208,High
149019,66775,82244,93763,75,11705,15638,10692,High
90726,84773,5953,0,70,19743,8804,16165,High
166564,122220,44344,40760,86,18694,24493,15813,Low
140668,43153,97515,54369,60,13731,9392,2222,Medium
31102,14494,16608,0,59,3662,2444,1460,Low
143015,67140,75875,0,28,11939,15688,7371,Low
51641,17816,33825,40640,10,3516,2594,1797,High
190656,176144,14512,0,49,42203,28795,20334,High
188817,115341,73476,113720,41,21658,33743,16712,High
179165,158073,21092,71670,31,32202,26811,10775,Medium
128746,65588,63158,13164,75,16848,11104,5961,Low
61631,23506,38125,28707,49,7440,5151,2965,Medium
97991,59609,38382,0,47,13732,17536,5802,Low
29014,10853,18161,0,57,3184,3219,2156,Low
36093,22230,13863,18333,64,7232,4800,2550,High
43070,38685,4385,29595,84,7476,3876,6981,High
60777,38806,21971,16763,90,12085,10870,7158,Medium
81958,57430,24528,0,64,17314,12292,10073,Low
107074,43023,64051,0,60,9524,7451,2453,Low
35729,11734,23995,0,69,4082,3119,2254,Low
183823,68386,115437,105139,17,13849,12307,4739,High
130864,90171,40693,0,95,18120,9631,4973,Low
155858,56382,99476,113491,77,17165,14896,6323,High
130510,71049,59461,16122,84,16833,14861,5626,Low
79748,52439,27309,39986,81,11335,8790,4070,High
30801,17021,13780,709,18,3161,2556,1585,Low
175262,71225,104037,0,99,21585,15581,6215,Low
54592,26093,28499,12103,11,8017,3695,3984,Low
35647,32203,3444,12823,89,8479,5306,2512,High
164788,121842,42946,45516,79,41604,27695,16018,Medium
135627,84418,51209,18744,94,18034,23325,16711,Low
95316,29382,65934,47427,99,5697,6069,3374,Medium
27368,25864,1504,0,68,7384,6513,3783,High
102575,75540,27035,0,28,22789,19082,14760,Low
31655,16017,15638,4870,37,3123,3729,1131,Low
95031,82821,12210,54538,81,13692,12354,9341,High
112922,52845,60077,0,23,16493,14445,9381,Low
149046,97418,51628,40943,33,33638,18242,18494,Medium
169475,120911,48564,2589,53,33726,13160,16949,Low
57097,25333,31764,0,65,5207,3772,1811,Low
167038,156340,10698,126346,99,54614,39571,28957,High
149862,117840,32022,75784,60,38728,13413,8975,High
143834,95301,48533,0,41,24080,12338,9809,Low
118848,49605,69243,49930,59,15628,11847,5274,Medium
77921,26104,51817,12444,50,8174,7270,3056,Low
151141,76785,74356,90750,75,25873,17410,12940,High
47677,37644,10033,28469,34,11977,5437,6411,High
80609,38294,42315,9384,70,10673,4238,6048,Low
56024,36455,19569,39350,75,9910,8130,1943,High
95313,73692,21621,20525,51,17941,8067,9928,Medium
152813,56565,96248,120081,74,15572,12588,9170,High
120285,89665,30620,0,45,27710,13011,10463,Low
171410,61658,109752,0,85,21198,17321,11822,Low
138632,128558,10074,0,18,31298,25071,22314,High
175580,108412,67168,61829,45,28699,15696,15798,Medium
28051,11162,16889,0,47,2667,3020,662,Low
139692,72995,66697,64617,42,20708,11008,10792,Medium
112235,63830,48405,0,51,17616,10297,11919,Low
188165,149181,38984,0,70,22909,39809,15949,Medium
195806,153360,42446,4569,55,39602,24807,26948,Medium
98523,68745,29778,42659,95,11528,12513,6666,Medium
119476,44069,75407,0,98,6842,7471,5972,Low
42019,16745,25274,23569,70,5161,2064,2465,High
108613,39202,69411,4842,27,7908,4225,5946,Low
111672,75396,36276,0,79,16446,18465,13750,Low
98847,86010,12837,55519,91,14003,19698,7327,High
107750,62707,45043,43736,89,11657,9811,5603,Medium
53251,21542,31709,0,24,6529,3427,3352,Low
128481,85147,43334,13431,57,21176,24607,6520,Medium
137566,113854,23712,32025,81,37131,33875,13621,Medium
50945,39844,11101,35415,22,9142,7757,2111,High
115852,101132,14720,0,52,20604,26343,7195,Medium
57217,27500,29717,0,69,6036,6801,4175,Low
33308,14191,19117,15831,66,4151,2262,2300,Medium
30949,26983,3966,0,80,7042,3014,1815,Medium
157222,114365,42857,77824,26,37836,14697,9624,Medium
125235,62880,62355,8183,59,17004,16830,4076,Low
99740,78049,21691,17372,41,19403,19219,8976,Medium
141352,117297,24055,28308,31,36027,27314,8083,Medium
91617,64107,27510,60960,64,21764,8085,7410,High
41896,31301,10595,0,66,6922,7136,5002,Low
155798,84741,71057,60677,22,16946,21560,12923,Medium
163877,106544,57333,0,56,29112,28992,9809,Low
30237,19372,10865,0,96,4838,1988,2926,Low
45056,38353,6703,32392,71,13340,9085,7254,High
139548,118054,21494,50963,63,28624,12256,12056,Medium
136488,114819,21669,16317,38,18929,27714,11409,Medium
159415,48967,110448,0,31,16916,11121,6645,Low
169572,133487,36085,62226,74,42544,17309,11590,Medium
54375,43126,11249,0,38,8006,10920,6371,Medium
165734,122799,42935,40093,57,40636,13958,21470,Low
41964,33217,8747,0,14,7245,8811,3949,Medium
138429,117288,21141,51861,44,26439,17873,17819,High
92215,55855,36360,62936,83,18503,13280,8254,High
94042,58901,35141,70236,92,15080,16771,3286,High
169356,64535,104821,126353,80,11458,10839,5002,High
118468,65215,53253,11868,55,14595,13080,12001,Low
34435,24730,9705,10524,44,7280,4763,4719,Medium
103832,83819,20013,0,54,15492,11024,14003,Medium
76293,33659,42634,0,22,9022,7339,6334,Medium
103781,40431,63350,29785,19,11686,10051,3878,Medium
185196,135374,49822,93504,75,29615,38361,11798,High
68919,20759,48160,39416,79,5994,5608,2234,High
191319,79577,111742,0,81,26009,16074,4639,Low
146172,46613,99559,35834,34,11393,11364,7993,Low
119758,48918,70840,92186,53,11083,12726,9667,High
81573,34085,47488,62940,69,6824,6772,5917,High
84101,46422,37679,19473,56,12572,5713,6185,Low
51646,28999,22647,19816,49,9452,5439,2734,Medium
129185,112167,17018,0,16,24108,30116,8934,Medium
48049,30346,17703,187,55,6956,6655,3174,Low
123116,94825,28291,40645,32,21935,23221,14228,Medium
122379,44997,77382,9835,92,11796,6167,5267,Low
93385,41699,51686,0,55,8159,12212,7927,Low
151131,114393,36738,0,95,35969,20684,20377,Medium
196230,65604,130626,63876,22,13719,15136,4287,Medium
48289,29759,18530,8525,30,8662,3088,2075,Low
135226,93250,41976,57693,10,23558,11699,14121,Medium
125793,86972,38821,100231,28,23237,22300,7359,High
34823,10965,23858,22301,69,2038,3219,1849,High
66975,34115,32860,0,42,10132,5595,4731,Low
34540,24651,9889,17553,13,4627,2648,2082,High
41364,16415,24949,1375,12,2834,2826,1999,Low
160683,120836,39847,26583,61,31337,12505,13402,Medium
52663,41332,11331,38973,37,12063,5723,7480,High
76991,72239,4752,22549,79,11558,18095,3960,High
129182,56374,72808,10710,79,9238,16202,10394,Low
187049,156435,30614,105107,64,48578,18379,23123,High
119704,76394,43310,0,66,23820,16163,12271,Low
74115,40225,33890,0,96,8007,6064,2026,Low
116007,44029,71978,92617,25,12021,5627,6350,High
174143,135496,38647,0,33,32334,19483,18735,Medium
36938,16744,20194,0,78,4630,3609,2186,Low
191267,103556,87711,149993,50,33404,11704,17384,High
116680,39747,76933,60684,86,6596,7426,5301,High
29000,23805,5195,17214,56,7274,3024,4250,High
126042,100617,25425,0,85,25013,15548,8541,Low
118610,92142,26468,0,78,24217,12729,15746,Medium
128691,63655,65036,0,40,17873,17606,4894,Low
63304,26129,37175,0,39,8740,6312,4493,Low
94449,67475,26974,47129,27,10886,18467,12892,Medium
107986,67222,40764,0,53,10479,11877,6746,Low
176836,73539,103297,16376,36,13652,11963,9522,Low
133940,99898,34042,0,35,34693,17593,14859,Low
63494,59953,3541,7075,69,17567,6217,3712,High
28373,22292,6081,11808,27,6084,5460,2766,Medium
168233,131388,36845,4994,98,20944,22329,13675,Medium
122532,112448,10084,7907,65,36638,18291,20338,High
117658,50817,66841,63285,40,15882,11160,9223,High
148633,99228,49405,0,68,28077,18580,15391,Low
125386,117457,7929,34252,11,25585,34787,17425,High
52350,21329,31021,9029,48,3500,3652,3413,Low
118008,89115,28893,76819,70,23705,19852,9347,High
119297,81214,38083,0,72,23871,13183,8988,Low
50351,34299,16052,0,27,5791,10225,4563,Low
113668,85647,28021,88043,26,23703,16189,16333,High
139585,126219,13366,16510,48,26161,28629,20018,High
171377,138588,32789,128995,80,41971,17371,18383,High
100353,33767,66586,0,63,8709,8327,5590,Low
90953,77698,13255,41288,85,13659,11953,8207,High
82458,36825,45633,0,44,9401,6986,5876,Low
45358,24719,20639,0,20,5664,6837,2758,Low
28267,16963,11304,6185,70,3156,4988,1559,Low
107745,66003,41742,0,53,21008,12204,9336,Low
114588,66789,47799,0,77,10165,17830,10220,Low
63513,57751,5762,27258,34,12267,6391,6866,High
182164,138246,43918,0,57,21085,37259,18639,Medium
36338,25809,10529,0,41,4366,5830,3977,Low
156484,52014,104470,0,93,10892,10285,8590,Low
32543,28883,3660,0,13,4645,8029,5324,Medium
130891,116637,14254,0,47,31413,31383,12034,Medium
189568,153007,36561,90895,72,25609,24387,29487,Medium
85692,26099,59593,0,56,7577,6741,3799,Low
69425,23412,46013,0,10,3758,2807,3936,Low
63756,28460,35296,46067,12,4606,7529,4410,High
43888,16913,26975,25058,95,3569,3976,1367,High
191807,107266,84541,125540,71,35324,12611,6512,High
72295,65044,7251,38595,73,18100,15390,10338,High
139352,84564,54788,14000,26,25709,18274,10710,Low
108042,33353,74689,66168,87,5947,7301,5180,High
110999,53699,57300,18664,71,17013,8493,6525,Low
42955,14131,28824,11114,44,2142,2166,1368,Medium
62841,20334,42507,0,22,3916,5134,1886,Low
95640,45832,49808,0,44,12522,6937,7313,Low
190983,91509,99474,0,52,20594,17318,8374,Low
163429,132644,30785,27852,11,46006,31696,20851,Medium
188551,176039,12512,91677,65,27474,20407,18940,High
86476,46808,39668,5796,86,16369,10246,7753,Low
69811,40404,29407,35914,60,11100,8803,2885,High
192280,163267,29013,117296,63,42733,38669,13183,High
176222,83580,92642,0,25,13531,14541,12778,Medium
96180,38630,57550,0,27,7906,7331,5177,Low
199358,170353,29005,4998,16,57056,28277,13727,Medium
137856,45523,92333,13173,54,10053,11910,8441,Low
93450,65677,27773,46523,45,18542,8283,6002,Medium
177424,118039,59385,132630,50,41301,34537,13357,High
136888,71845,65043,0,51,14556,16306,5772,Low
135448,68384,67064,79646,16,18136,18968,7399,High
39397,31584,7813,27308,24,9136,5850,3908,High
197627,70389,127238,82352,69,12875,11716,6636,Medium
156800,71173,85627,83952,49,12792,19938,11769,High
144180,111896,32284,0,92,26996,13402,12206,Medium
91234,59886,31348,0,46,13603,7391,9547,Medium
64954,24889,40065,15427,75,7288,3978,2017,Low
104459,91233,13226,52,64,14953,26635,9721,Medium
172851,96060,76791,133177,86,33086,21768,4919,High
180538,151311,29227,0,89,23128,31902,24784,Medium
193011,156727,36284,118056,65,42357,37782,22550,High
191342,135063,56279,0,53,35457,24783,23321,Low
84163,52299,31864,0,66,9253,13159,6189,Low
76934,72064,4870,6271,15,12984,12873,12248,High
188379,74264,114115,2399,41,22913,19700,10927,Low
79098,61012,18086,0,83,19982,9362,3083,Medium
